Date;Time;CM_FI_INY02.DACA.PV;CM_FI_INY03.DACA.PV;CM_FI_INY08.DACA.PV;CM_FI_INY07.DACA.PV
6/27/2022;3:00:00 PM;29883.83;7800.99;60073.96;8444.92
6/27/2022;2:00:00 PM;29884.02;7870.10;60177.81;8462.79
6/27/2022;1:00:00 PM;29702.08;7979.86;59889.50;8490.59
6/27/2022;12:00:00 PM;27970.13;7284.31;56322.77;8313.90
6/27/2022;11:00:00 AM;28142.93;7519.52;57106.15;8354.57
6/27/2022;10:00:00 AM;29878.20;7877.04;60328.06;8494.45
6/27/2022;9:00:00 AM;29955.03;7974.48;60586.88;8427.21
6/27/2022;8:00:00 AM;29169.93;7803.57;59051.65;8523.24
6/27/2022;7:00:00 AM;28202.82;7579.48;57637.25;8405.78
6/27/2022;6:00:00 AM;29805.25;7912.76;60315.48;8495.82
6/27/2022;5:00:00 AM;29762.66;7974.76;60166.12;8476.13
6/27/2022;4:00:00 AM;29714.85;7948.89;60189.37;8530.15
6/27/2022;3:00:00 AM;29860.04;7930.44;60365.88;8482.98
6/27/2022;2:00:00 AM;29755.94;7994.77;60369.16;8480.94
6/27/2022;1:00:00 AM;29806.17;8044.96;60406.96;8402.75
6/27/2022;12:00:00 AM;29542.43;7966.13;60088.08;8376.83
6/26/2022;11:00:00 PM;28737.07;7633.36;58520.84;8345.11
6/26/2022;10:00:00 PM;28758.86;7510.21;58383.81;8351.48
6/26/2022;9:00:00 PM;28559.71;7547.97;58476.25;8385.68
6/26/2022;8:00:00 PM;28724.77;7558.49;58661.09;8433.11
6/26/2022;7:00:00 PM;28212.91;7406.54;57771.61;8420.49
6/26/2022;6:00:00 PM;27139.60;7057.55;46502.14;8261.95
6/26/2022;5:00:00 PM;27953.78;7210.20;56382.34;8349.79
6/26/2022;4:00:00 PM;29202.42;7869.62;59626.29;8413.36
6/26/2022;3:00:00 PM;29997.39;7975.50;60608.76;8481.80
6/26/2022;2:00:00 PM;29814.07;8105.62;60615.70;8518.91
6/26/2022;1:00:00 PM;29620.40;8126.94;60320.10;8499.86
6/26/2022;12:00:00 PM;29571.57;7904.73;60556.14;8534.70
6/26/2022;11:00:00 AM;29732.21;7936.31;60572.35;8497.66
6/26/2022;10:00:00 AM;29710.23;7927.83;60447.16;8495.34
6/26/2022;9:00:00 AM;29773.52;8010.16;60541.55;8482.76
6/26/2022;8:00:00 AM;29854.05;7861.53;60740.98;8542.95
6/26/2022;7:00:00 AM;29386.72;7974.96;59667.32;8476.48
6/26/2022;6:00:00 AM;28521.32;7670.48;58216.64;8347.75
